time,branch2_seg0,branch1_seg0,branch0_seg0
0.47000000000000003,-7378.37809818,-5671.72266995,-8679.81196831
0.48,-7449.93851102,-5715.44802776,-9016.37077481
0.49,-7568.20492143,-5792.49278497,-9037.69393431
0.5,-7569.5695278,-5814.77637203,-8837.18079514
0.51,-7544.06928665,-5815.45176571,-8904.79045633
0.52,-7613.09810189,-5861.17757783,-9124.10483379
0.53,-7695.0688477,-5920.00747509,-9118.71552272
0.54,-7701.22764792,-5942.0998138,-9012.80898423
0.55,-7703.62922287,-5956.97862836,-9092.99178516
0.56,-7766.12280742,-6001.43412564,-9236.27850382
0.5700000000000001,-7826.30343375,-6048.97479336,-9227.20576074
0.58,-7839.16670751,-6072.85542457,-9181.3661269
0.59,-7857.86149968,-6096.30152458,-9258.94508845
0.6,-7913.32213987,-6138.41309576,-9354.76527025
0.61,-7960.919204,-6179.20394114,-9351.53744872
0.62,-7980.09107876,-6205.32784814,-9342.38191722
0.63,-8007.84625933,-6233.71678862,-9411.86852066
0.64,-8057.21572906,-6273.43839169,-9479.14507357
0.65,-8097.85979386,-6310.3429225,-9484.47084031
0.66,-8122.11452964,-6338.4979168,-9496.8201617
0.67,-8154.59359992,-6369.58646886,-9557.3964462
0.68,-8199.21761091,-6407.27876964,-9608.1783731
0.6900000000000001,-8236.2186944,-6442.03536914,-9621.66856853
0.7000000000000001,-8264.21127551,-6471.78530137,-9646.04238311
0.71,-8298.92043547,-6504.23796318,-9698.83994463
0.72,-8340.07936496,-6540.35980343,-9740.51251257
0.73,-8375.29858372,-6573.98194746,-9760.63910865
0.74,-8405.86046876,-6604.8758783,-9791.33967576
0.75,-8441.43456411,-6637.93072773,-9838.06044347
0.76,-8480.17186646,-6672.90302545,-9874.97515716
0.77,-8514.59976974,-6705.95475603,-9900.02085472
0.78,-8546.82457927,-6737.61062503,-9933.7628455
0.79,-8582.56301853,-6770.8545944,-9976.04883405
0.8,-8619.6577164,-6805.01376092,-10010.6586362
0.81,-8653.78299379,-6837.79110227,-10039.1170641
0.8200000000000001,-8687.01641826,-6869.91681517,-10074.0960788
0.8300000000000001,-8722.59294385,-6903.14065777,-10113.2944524
0.84,-8758.59266824,-6936.73450145,-10146.9089281
0.85,-8792.62842169,-6969.38030284,-10177.6051726
0.86,-8826.42259349,-7001.76702357,-10212.8908773
0.87,-8861.71059356,-7034.87524094,-10250.0114435
0.88,-8896.98269434,-7068.07605382,-10283.2794052
0.89,-8930.99993825,-7100.64996073,-10315.3619749
0.9,-8965.06154288,-7133.15572214,-10350.5177005
0.91,-9000.03314784,-7166.11274948,-10386.2722189
0.92,-9034.81437372,-7199.03490022,-10419.4785597
0.93,-9068.81740511,-7231.55431371,-10452.3627138
0.9400000000000001,-9102.96194475,-7264.0865805,-10487.2159913
0.9500000000000001,-9137.63248314,-7296.88596508,-10522.0827659
0.96,-9172.06988918,-7329.60232945,-10555.3240048
0.97,-9206.0366045,-7362.0653124,-10588.6255874
0.98,-9240.15261704,-7394.56602608,-10623.1352732
0.99,-9274.55188396,-7427.21363981,-10657.4228856
1.0,-9308.73356232,-7459.76885859,-10690.706546
