    26 2.000E+00 1.889E-01  (  -9)   3.331E-04   1.553E-06  <   234-12|  13> [   0 -   0]
    27 2.000E+00 4.574E+00  (   4)   5.436E-03   2.025E-06  <   291-10|  12> [   0 -   0]
    27 2.000E+00 1.878E-01  (  -9)   3.339E-04   1.639E-06  <   234-12|  13> [   0 -   0]
    28 2.000E+00 4.297E+00  (   4)   5.375E-03   3.551E-06  <   291-10|  12> [   0 -   0]
    28 2.000E+00 1.824E-01  (  -9)   9.313E-04   1.441E-04  <   234-12|  12> [   0 -   0]
    29 2.000E+00 4.253E+00  (   4)   5.420E-03   2.646E-06  <   291-10|  12> [   0 -   0]
    29 2.000E+00 1.813E-01  (  -9)   3.111E-04   1.557E-06  <   234-12|  12> [   0 -   0]
    30 2.000E+00 4.230E+00  (   4)   5.302E-03   7.373E-05  <   291-10|  12> [   0 -   0]
    30 2.000E+00 1.870E-01  (  -9)   3.151E-04   1.418E-06  <   242-12|  11> [   0 -   0]
    31 2.000E+00 4.251E+00  (   4)   5.257E-03   2.902E-06  <   291-10|  12> [   0 -   0]
    31 2.000E+00 1.817E-01  (  -9)   5.185E-04   4.134E-05  <   242-12|  12> [   0 -   0]
    32 2.000E+00 4.248E+00  (   4)   5.194E-03   2.413E-06  <   291-10|  12> [   0 -   0]
    32 2.000E+00 1.814E-01  (  -9)   2.898E-04   8.621E-07  <   291-10|  12> [   0 -   0]
    33 2.000E+00 4.261E+00  (   4)   5.156E-03   2.657E-06  <   291-10|  12> [   0 -   0]
    33 2.000E+00 1.798E-01  (  -9)   3.365E-04   4.275E-06  <   291-10|  13> [   0 -   0]
    34 2.000E+00 4.275E+00  (   4)   5.129E-03   2.176E-06  <   291-10|  11> [   0 -   0]
    34 2.000E+00 1.806E-01  (  -9)   2.888E-04   1.275E-06  <   291-10|  13> [   0 -   0]
    35 2.000E+00 4.297E+00  (   4)   5.089E-03   2.548E-06  <   291-10|  11> [   0 -   0]
    35 2.000E+00 1.788E-01  (  -9)   8.444E-04   1.435E-04  <   291-10|  13> [   0 -   0]
    36 2.000E+00 4.356E+00  (   4)   4.988E-03   2.210E-06  <   310-10|  11> [   0 -   0]
    36 2.000E+00 2.607E-01  (  -8)   4.624E-04   1.210E-06  <   291-10|  12> [   0 -   0]
    37 2.000E+00 4.356E+00  (   4)   4.946E-03   2.453E-06  <   310-10|  11> [   0 -   0]
    37 2.000E+00 2.509E-01  (  -8)   4.566E-04   1.271E-06  <   291-10|  12> [   0 -   0]
    38 2.000E+00 4.375E+00  (   4)   4.926E-03   3.833E-06  <   310-10|  11> [   0 -   0]
